ElapsedTime,Unix,VBUS,IBUS,DP,DM,CC1,CC2,TEMP,CHARGE,ENERGY,PWR
0:00:00.000,20.000,11.946248,1.250492,0.033,0.048,0.004,1.589,33.273438,0.0051327062,0.06142022,14.938688
0:00:00.020,20.020,11.946775,1.250258,0.033,0.05,0.005,1.59,33.273438,0.0051396521,0.061503201,14.936551
0:00:00.040,20.040,11.9474,1.250363,0.033,0.046,0.004,1.589,33.273438,0.0051465985,0.061586193,14.938587
0:00:00.060,20.060,11.947947,1.250673,0.032,0.049,0.005,1.589,33.273438,0.0051535467,0.061669209,14.942975
0:00:00.080,20.080,11.948435,1.246866,0.03,0.048,0.007,1.589,33.273438,0.0051604737,0.061751976,14.898097
0:00:00.100,20.100,11.948709,1.260712,0.032,0.046,0.006,1.591,33.273438,0.0051674777,0.061835665,15.063881
0:00:00.120,20.120,11.948865,1.290874,0.034,0.047,0.006,1.592,33.273438,0.0051746492,0.061921356,15.424479
0:00:00.140,20.140,11.949197,1.274123,0.03,0.046,0.006,1.589,33.289063,0.0051817277,0.062005938,15.224747
0:00:00.160,20.160,11.949724,1.266816,0.032,0.047,0.005,1.589,33.289063,0.0051887656,0.062090039,15.138102
0:00:00.180,20.180,11.950154,1.266719,0.035,0.051,0.007,1.589,33.289063,0.0051958029,0.062174136,15.137487
0:00:00.200,20.200,11.950642,1.265919,0.033,0.046,0.005,1.589,33.289063,0.0052028358,0.062258183,15.128545
0:00:00.220,20.220,11.951091,1.264881,0.032,0.048,0.006,1.589,33.289063,0.0052098629,0.062342165,15.116708
0:00:00.240,20.240,11.951443,1.263991,0.033,0.048,0.005,1.589,33.289063,0.005216885,0.06242609,15.106516
0:00:00.260,20.260,11.951716,1.263263,0.033,0.046,0.005,1.589,33.289063,0.0052239032,0.062509969,15.098161
0:00:00.280,20.280,11.952029,1.262849,0.031,0.044,0.005,1.589,33.289063,0.005230919,0.062593822,15.093608
0:00:00.300,20.300,11.952263,1.262414,0.033,0.047,0.004,1.59,33.289063,0.0052379324,0.062677648,15.088704
0:00:00.320,20.320,11.95365,1.093797,0.033,0.05,0.005,1.588,33.289063,0.0052440091,0.062750286,13.074867
0:00:00.340,20.340,11.955369,1.069019,0.034,0.048,0.005,1.589,33.289063,0.0052499481,0.062821289,12.780517
0:00:00.360,20.360,11.956463,1.069864,0.033,0.045,0.004,1.589,33.273438,0.0052558917,0.062892355,12.791789
0:00:00.380,20.380,11.9574,1.070576,0.032,0.048,0.004,1.588,33.273438,0.0052618394,0.062963473,12.801305
0:00:00.400,20.400,11.958201,1.071148,0.033,0.048,0.004,1.589,33.273438,0.0052677902,0.063034634,12.809003
0:00:00.420,20.420,11.959002,1.071812,0.032,0.046,0.004,1.59,33.273438,0.0052737447,0.063105844,12.817802
0:00:00.440,20.440,11.959744,1.07227,0.033,0.046,0.004,1.589,33.273438,0.0052797018,0.063177089,12.824075
0:00:00.460,20.460,11.960408,1.072745,0.032,0.048,0.004,1.589,33.273438,0.0052856615,0.06324837,12.830468
0:00:00.480,20.480,11.960955,1.073212,0.033,0.047,0.005,1.588,33.273438,0.0052916238,0.063319684,12.83664
0:00:00.500,20.500,11.961521,1.073683,0.032,0.044,0.005,1.589,33.273438,0.0052975887,0.063391034,12.842882
0:00:00.520,20.520,11.962068,1.074025,0.031,0.047,0.004,1.588,33.273438,0.0053035555,0.063462409,12.84756
0:00:00.540,20.540,11.962576,1.074387,0.033,0.048,0.003,1.589,33.273438,0.0053095243,0.063533811,12.852436
0:00:00.560,20.560,11.97158,0.97684,0.033,0.046,0.003,1.586,33.273438,0.0053149512,0.06359878,11.694318
0:00:00.580,20.580,12.043259,0.833689,0.031,0.046,0.003,1.589,33.289063,0.0053195828,0.063654559,10.040333
0:00:00.600,20.600,12.038963,0.861388,0.033,0.05,0.003,1.588,33.289063,0.0053243683,0.063712172,10.370218
0:00:00.620,20.620,12.034763,0.862133,0.033,0.048,0.003,1.59,33.289063,0.0053291579,0.063769814,10.375566
0:00:00.640,20.640,12.031052,0.84941,0.032,0.047,0.003,1.589,33.289063,0.0053338769,0.063826588,10.219296
0:00:00.660,20.660,11.952986,1.084386,0.033,0.05,0.005,1.586,33.289063,0.0053399012,0.063898597,12.961651
0:00:00.680,20.680,11.935232,1.125435,0.032,0.048,0.004,1.589,33.289063,0.0053461536,0.063973221,13.432328
0:00:00.700,20.700,11.937185,1.1248,0.032,0.044,0.003,1.589,33.289063,0.0053524025,0.064047815,13.426946
0:00:00.720,20.720,11.939138,1.124466,0.033,0.044,0.004,1.588,33.289063,0.0053586496,0.064122399,13.425155
0:00:00.740,20.740,11.941267,1.12379,0.032,0.048,0.004,1.589,33.289063,0.0053648928,0.064196952,13.419476
0:00:00.760,20.760,11.943084,1.123242,0.033,0.046,0.004,1.589,33.289063,0.0053711331,0.064271479,13.414974
