ElapsedTime,Unix,VBUS,IBUS,DP,DM,CC1,CC2,TEMP,CHARGE,ENERGY,PWR
0:00:00.000, 0.000,11.941384,0.709051,0.034,0.048,0.003,1.589,35.476563,3.9391722e-06,4.7039167e-05,8.4670503
0:00:00.020, 0.020,11.942595,0.900261,0.033,0.045,0.003,1.589,35.476563,8.9406222e-06,0.00010676946,10.751453
0:00:00.040, 0.040,11.945369,0.870413,0.031,0.048,0.003,1.59,35.476563,1.377625e-05,0.00016453281,10.397404
0:00:00.060, 0.060,11.966736,0.794635,0.032,0.047,0.003,1.589,35.476563,1.8190889e-05,0.00021736163,9.5091873
0:00:00.080, 0.080,11.988591,0.53252,0.032,0.045,0.003,1.587,35.476563,2.1149333e-05,0.00025282921,6.3841645
0:00:00.100, 0.100,12.040662,0.463529,0.033,0.047,0.003,1.587,35.476563,2.3724494e-05,0.00028383585,5.581196
0:00:00.120, 0.120,12.022771,0.557595,0.038,0.053,0.003,1.588,35.476563,2.6822244e-05,0.00032107938,6.703837
0:00:00.140, 0.140,11.89572,1.195524,0.033,0.047,0.005,1.589,35.46875,3.3464044e-05,0.00040008837,14.221619
0:00:00.160, 0.160,11.892048,1.196289,0.031,0.048,0.005,1.59,35.46875,4.0110094e-05,0.00047912352,14.226326
0:00:00.180, 0.180,11.953884,1.196957,0.031,0.044,0.003,1.591,35.46875,4.6759856e-05,0.00055861399,14.308285
0:00:00.200, 0.200,11.954099,1.197777,0.034,0.048,0.004,1.592,35.46875,5.3414172e-05,0.00063816034,14.318345
0:00:00.220, 0.220,11.95449,1.198486,0.033,0.048,0.004,1.591,35.46875,6.0072428e-05,0.00071775639,14.327289
0:00:00.240, 0.240,11.954978,1.199093,0.033,0.046,0.006,1.591,35.46875,6.6734056e-05,0.000797396,14.33513
0:00:00.260, 0.260,11.955369,1.184781,0.032,0.045,0.004,1.59,35.46875,7.3316172e-05,0.00087608763,14.164494
0:00:00.280, 0.280,11.955681,1.129608,0.033,0.043,0.004,1.591,35.46875,7.9591772e-05,0.0009511167,13.505233
0:00:00.300, 0.300,11.957185,1.066971,0.032,0.046,0.005,1.59,35.46875,8.5519389e-05,0.0010219943,12.75797
0:00:00.320, 0.320,11.958416,1.077115,0.033,0.046,0.005,1.589,35.46875,9.1503361e-05,0.0010935531,12.880589
0:00:00.340, 0.340,11.959412,1.073723,0.032,0.044,0.006,1.59,35.46875,9.7468489e-05,0.0011648926,12.841096
0:00:00.360, 0.360,11.960369,1.050393,0.032,0.048,0.004,1.589,35.476563,0.00010330401,0.0012346875,12.563088
0:00:00.380, 0.380,11.961384,1.030448,0.033,0.047,0.003,1.589,35.476563,0.00010902872,0.0013031629,12.325584
0:00:00.400, 0.400,11.983435,0.903263,0.033,0.047,0.005,1.59,35.476563,0.00011404684,0.0013632973,10.824193
0:00:00.420, 0.420,11.940662,1.078213,0.031,0.045,0.003,1.589,35.476563,0.00012003692,0.0014348228,12.874577
0:00:00.440, 0.440,11.99658,0.800703,0.032,0.047,0.002,1.587,35.476563,0.00012448527,0.0014881878,9.6056976
0:00:00.460, 0.460,12.075759,0.488078,0.033,0.048,0.002,1.588,35.476563,0.00012719681,0.0015209317,5.8939123
0:00:00.480, 0.480,12.072127,0.488456,0.033,0.047,0.003,1.585,35.476563,0.00012991046,0.0015536912,5.8967029
0:00:00.500, 0.500,12.067927,0.488883,0.033,0.045,0.003,1.588,35.476563,0.00013262647,0.0015864679,5.8998044
0:00:00.520, 0.520,12.063845,0.489104,0.032,0.047,0.002,1.587,35.476563,0.00013534372,0.0016192483,5.9004748
0:00:00.540, 0.540,12.059959,0.489068,0.033,0.051,0.002,1.586,35.476563,0.00013806076,0.0016520157,5.89814
0:00:00.560, 0.560,12.056365,0.488915,0.034,0.047,0.003,1.588,35.476563,0.00014077696,0.0016847631,5.8945377
0:00:00.580, 0.580,11.960759,0.768212,0.032,0.046,0.005,1.589,35.453125,0.0001450448,0.0017358098,9.1883986
0:00:00.600, 0.600,11.938943,0.90181,0.033,0.048,0.004,1.589,35.453125,0.00015005486,0.0017956246,10.766658
0:00:00.620, 0.620,11.941775,0.876658,0.033,0.051,0.003,1.589,35.453125,0.00015492518,0.0018537848,10.468853
0:00:00.640, 0.640,11.951814,0.803765,0.036,0.052,0.003,1.588,35.453125,0.00015939054,0.001907154,9.6064498
0:00:00.660, 0.660,12.012908,0.653412,0.038,0.052,0.003,1.59,35.453125,0.00016302061,0.0019507617,7.8493782
0:00:00.680, 0.680,12.01447,0.511572,0.033,0.048,0.002,1.588,35.453125,0.00016586267,0.0019849076,6.1462664
0:00:00.700, 0.700,12.015291,0.479986,0.033,0.046,0.001,1.588,35.453125,0.00016852926,0.0020169474,5.7671715
0:00:00.720, 0.720,11.903748,0.95038,0.033,0.047,0.004,1.59,35.453125,0.00017380915,0.0020797979,11.313084
0:00:00.740, 0.740,11.894412,1.177868,0.034,0.049,0.005,1.591,35.453125,0.00018035286,0.0021576315,14.010047
0:00:00.760, 0.760,11.953357,1.177667,0.029,0.041,0.006,1.592,35.453125,0.00018689546,0.0022358375,14.077074
0:00:00.780, 0.780,11.953709,1.177353,0.033,0.045,0.005,1.59,35.453125,0.00019343631,0.0023140249,14.073735
0:00:00.800, 0.800,11.954275,1.177104,0.032,0.05,0.005,1.588,35.453125,0.00019997577,0.0023921995,14.071425
0:00:00.820, 0.820,11.954822,1.183554,0.033,0.048,0.006,1.59,35.453125,0.00020655107,0.002470806,14.149177
0:00:00.840, 0.840,11.955017,1.206364,0.033,0.047,0.005,1.592,35.453125,0.00021325309,0.0025509288,14.422102
0:00:00.860, 0.860,11.955662,1.154973,0.033,0.049,0.004,1.591,35.453125,0.00021966961,0.0026276425,13.808467
0:00:00.880, 0.880,11.956814,1.099442,0.032,0.047,0.004,1.588,35.453125,0.00022577762,0.0027006748,13.145823
0:00:00.900, 0.900,11.95781,1.099812,0.033,0.045,0.005,1.588,35.453125,0.00023188769,0.0027737378,13.151343
0:00:00.920, 0.920,11.95865,1.099877,0.033,0.049,0.005,1.59,35.453125,0.00023799812,0.0028468103,13.153044
0:00:00.940, 0.940,11.959978,0.99234,0.033,0.048,0.003,1.59,35.453125,0.00024351112,0.0029127457,11.868365
