ElapsedTime,Unix,VBUS,IBUS,DP,DM,CC1,CC2,TEMP,CHARGE,ENERGY,PWR,,,,
00:00.0,0,12.013455,0.48848,0.032,0.044,0.002,1.588,35.625,2.7137778e-06,3.2601844e-05,5.8683325,,,,
00:00.0,0.02,12.013435,0.488557,0.032,0.045,0.003,1.588,35.625,5.4279833e-06,6.5208772e-05,5.8692478,,,,
00:00.0,0.04,12.011873,0.771966,0.033,0.048,0.004,1.589,35.625,9.7166833e-06,0.000116724,9.2727576,,,,
00:00.1,0.06,12.009334,0.813019,0.034,0.047,0.003,1.589,35.625,1.4233456e-05,0.000170968,9.7638167,,,,
00:00.1,0.08,12.006755,0.907926,0.032,0.044,0.004,1.589,35.625,1.9277489e-05,0.00023153,10.901245,,,,
00:00.1,0.1,12.004373,0.902333,0.032,0.049,0.004,1.589,35.625,2.429045e-05,0.000291707,10.831942,,,,
00:00.1,0.12,12.002537,0.926657,0.033,0.049,0.003,1.589,35.625,2.9438544e-05,0.000353498,11.122235,,,,
00:00.1,0.14,12.000994,0.894222,0.033,0.049,0.003,1.589,35.609375,3.4406444e-05,0.000413117,10.731553,,,,
00:00.2,0.16,12.000466,0.821264,0.033,0.046,0.003,1.589,35.609375,3.8969022e-05,0.00046787,9.8555507,,,,
00:00.2,0.18,11.99949,0.808988,0.032,0.048,0.004,1.588,35.609375,4.34634e-05,0.000521801,9.7074434,,,,
00:00.2,0.2,11.997947,0.890109,0.032,0.049,0.003,1.589,35.609375,4.840845e-05,0.000581131,10.679481,,,,
00:00.2,0.22,11.996502,0.909484,0.033,0.045,0.003,1.589,35.609375,5.3461139e-05,0.000641746,10.910627,,,,
00:00.2,0.24,11.995427,0.923434,0.033,0.047,0.004,1.589,35.609375,5.8591328e-05,0.000703284,11.076985,,,,
00:00.3,0.26,11.99449,0.88063,0.031,0.047,0.005,1.587,35.609375,6.3483717e-05,0.000761966,10.562708,,,,
