ElapsedTime,Unix,VBUS,IBUS,DP,DM,CC1,CC2,TEMP,CHARGE,ENERGY,PWR
0:00:00.000, 0.000,11.982693,0.76824,0.018,0.029,0.003,1.59,35.59375,4.268e-06,5.1142133e-05,9.2055841
0:00:00.020, 0.020,11.983591,0.690212,0.032,0.046,0.003,1.59,35.59375,8.1025111e-06,9.7093344e-05,8.2712183
0:00:00.040, 0.040,11.983474,0.763202,0.036,0.051,0.004,1.588,35.59375,1.2342522e-05,0.00014790341,9.1458113
0:00:00.060, 0.060,12.023904,0.791718,0.026,0.043,0.004,1.588,35.59375,1.6740956e-05,0.00020078974,9.5195412
0:00:00.080, 0.080,11.986248,0.796921,0.033,0.048,0.003,1.589,35.59375,2.1168294e-05,0.00025385692,9.5520927
0:00:00.100, 0.100,11.98697,0.864748,0.033,0.046,0.003,1.59,35.59375,2.597245e-05,0.00031144419,10.365708
0:00:00.120, 0.120,12.000838,0.710162,0.029,0.044,0.004,1.588,35.59375,2.9917794e-05,0.00035879163,8.5225391
0:00:00.140, 0.140,12.020603,0.754994,0.036,0.052,0.003,1.588,35.59375,3.4112206e-05,0.00040921098,9.0754831
0:00:00.160, 0.160,11.993279,0.603139,0.032,0.045,0.003,1.589,35.59375,3.7462978e-05,0.00044939772,7.2336143
0:00:00.180, 0.180,11.97447,0.731391,0.033,0.047,0.002,1.588,35.59375,4.1526261e-05,0.00049805338,8.7580196
0:00:00.200, 0.200,12.012127,0.913338,0.035,0.048,0.003,1.589,35.59375,4.6600361e-05,0.00055900412,10.971132
0:00:00.220, 0.220,11.998181,0.784837,0.033,0.051,0.003,1.588,35.59375,5.0960567e-05,0.00061131865,9.4166164
0:00:00.240, 0.240,11.979548,0.749888,0.038,0.051,0.003,1.59,35.59375,5.5126611e-05,0.00066122598,8.9833193
0:00:00.260, 0.260,11.977088,0.660819,0.032,0.048,0.003,1.59,35.59375,5.8797828e-05,0.00070519646,7.9146873
0:00:00.280, 0.280,12.004295,0.739309,0.032,0.048,0.003,1.589,35.59375,6.29051e-05,0.00075450137,8.8748833
0:00:00.300, 0.300,11.985798,0.679895,0.026,0.044,0.003,1.59,35.59375,6.6682294e-05,0.00079977406,8.1490841
0:00:00.320, 0.320,11.984119,0.809648,0.033,0.049,0.003,1.589,35.59375,7.1180339e-05,0.00085367915,9.702918
0:00:00.340, 0.340,11.994607,0.767177,0.032,0.044,0.003,1.588,35.585938,7.5442433e-05,0.00090480129,9.2019866
0:00:00.360, 0.360,12.024978,0.746757,0.032,0.047,0.003,1.589,35.585938,7.9591083e-05,0.00095468872,8.9797365
0:00:00.380, 0.380,11.985857,0.681682,0.035,0.05,0.002,1.588,35.585938,8.3378206e-05,0.0010000806,8.170543
0:00:00.400, 0.400,12.028943,0.795842,0.031,0.048,0.003,1.589,35.585938,8.779955e-05,0.0010532647,9.5731381
0:00:00.420, 0.420,12.026326,0.830185,0.031,0.045,0.004,1.589,35.585938,9.2411689e-05,0.0011087318,9.9840755
0:00:00.440, 0.440,11.996912,0.673586,0.034,0.046,0.002,1.588,35.585938,9.6153833e-05,0.001153626,8.080952
0:00:00.460, 0.460,11.979822,0.78093,0.033,0.048,0.003,1.59,35.585938,0.00010049233,0.0012056004,9.3554024
0:00:00.480, 0.480,11.977752,0.73255,0.031,0.044,0.004,1.589,35.585938,0.00010456206,0.0012543465,8.7743022
0:00:00.500, 0.500,12.011365,0.670569,0.031,0.046,0.003,1.589,35.585938,0.00010828744,0.0012990935,8.054449
0:00:00.520, 0.520,12.003142,0.727971,0.048,0.063,0.004,1.588,35.585938,0.00011233172,0.0013476376,8.7379393
0:00:00.540, 0.540,11.991287,0.742142,0.031,0.042,0.002,1.588,35.585938,0.00011645473,0.0013970778,8.8992377
0:00:00.560, 0.560,11.98367,0.879632,0.033,0.048,0.003,1.589,35.601563,0.00012134158,0.0014556401,10.54122
0:00:00.580, 0.580,11.951697,0.832289,0.031,0.046,0.003,1.588,35.601563,0.00012596541,0.0015109027,9.9472659
0:00:00.600, 0.600,12.008435,0.799423,0.032,0.047,0.003,1.59,35.601563,0.00013040664,0.001564235,9.5998191
0:00:00.620, 0.620,11.999119,0.88473,0.031,0.045,0.004,1.589,35.601563,0.00013532181,0.0016232127,10.615981
0:00:00.640, 0.640,12.028201,0.793943,0.033,0.047,0.003,1.589,35.601563,0.00013973261,0.0016762666,9.549706
0:00:00.660, 0.660,11.991677,0.832353,0.033,0.049,0.003,1.59,35.601563,0.00014435679,0.0017317183,9.9813083
0:00:00.680, 0.680,12.010994,0.731169,0.033,0.044,0.001,1.588,35.601563,0.00014841884,0.0017805076,8.7820665
0:00:00.700, 0.700,11.995388,0.797754,0.033,0.048,0.004,1.59,35.601563,0.00015285081,0.0018336707,9.5693688
0:00:00.720, 0.720,11.987966,0.792068,0.033,0.046,0.005,1.59,35.601563,0.00015725118,0.0018864223,9.4952843
0:00:00.740, 0.740,12.005154,0.736758,0.033,0.046,0.003,1.589,35.601563,0.00016134428,0.0019355606,8.8448933
0:00:00.760, 0.760,11.986267,0.867492,0.033,0.052,0.004,1.588,35.601563,0.00016616368,0.0019933272,10.397991
0:00:00.780, 0.780,11.987107,0.743961,0.034,0.047,0.003,1.587,35.570313,0.0001702968,0.0020428713,8.9179401
